,pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm,l_pd,m_pd
814,PD0815,여성등산/아웃도어세트,스포츠패션,여성등산/아웃도어의류,L0029,M0196
815,PD0816,여성런닝/트레이닝화,스포츠패션,여성스포츠화,L0029,M0198
816,PD0817,여성스포츠샌들/슬리퍼,스포츠패션,여성스포츠화,L0029,M0198
817,PD0818,여성스포츠화부속품,스포츠패션,여성스포츠화,L0029,M0198
818,PD0819,여성스포츠티셔츠/탑,스포츠패션,여성일반스포츠의류,L0029,M0206
819,PD0820,여성스포츠스웨트셔츠/후드/집업,스포츠패션,여성일반스포츠의류,L0029,M0206
820,PD0821,여성스포츠베스트,스포츠패션,여성일반스포츠의류,L0029,M0206
821,PD0822,여성일반스포츠바지,스포츠패션,여성일반스포츠의류,L0029,M0206
822,PD0823,여성스포츠스커트,스포츠패션,여성일반스포츠의류,L0029,M0206
823,PD0824,여성스포츠점퍼/재킷,스포츠패션,여성일반스포츠의류,L0029,M0206
824,PD0825,여성스포츠패딩,스포츠패션,여성일반스포츠의류,L0029,M0206
825,PD0826,여성스포츠전신/원피스,스포츠패션,여성일반스포츠의류,L0029,M0206
826,PD0827,여성트레이닝복,스포츠패션,여성일반스포츠의류,L0029,M0206
827,PD0828,여성스포츠속옷,스포츠패션,여성일반스포츠의류,L0029,M0206
828,PD0829,유아동런닝/트레이닝화,스포츠패션,유아동스포츠화,L0029,M0242
829,PD0830,유아동스포츠샌들/슬리퍼,스포츠패션,유아동스포츠화,L0029,M0242
830,PD0831,유아동스포츠화부속품,스포츠패션,유아동스포츠화,L0029,M0242
831,PD0832,유아동스포츠티셔츠/탑,스포츠패션,유아동일반스포츠의류,L0029,M0245
832,PD0833,유아동스포츠스웨트셔츠/후드/집업,스포츠패션,유아동일반스포츠의류,L0029,M0245
833,PD0834,유아동스포츠베스트,스포츠패션,유아동일반스포츠의류,L0029,M0245
834,PD0835,유아동일반스포츠바지,스포츠패션,유아동일반스포츠의류,L0029,M0245
835,PD0836,유아동스포츠스커트,스포츠패션,유아동일반스포츠의류,L0029,M0245
836,PD0837,유아동스포츠점퍼/재킷,스포츠패션,유아동일반스포츠의류,L0029,M0245
837,PD0838,유아동스포츠패딩,스포츠패션,유아동일반스포츠의류,L0029,M0245
838,PD0839,유아동스포츠전신/원피스,스포츠패션,유아동일반스포츠의류,L0029,M0245
839,PD0840,유아동트레이닝복,스포츠패션,유아동일반스포츠의류,L0029,M0245
840,PD0841,유아동스포츠속옷,스포츠패션,유아동일반스포츠의류,L0029,M0245
841,PD0842,기타시즌스포츠용품,시즌스포츠,기타시즌스포츠,L0030,M0042
842,PD0843,남성수영복,시즌스포츠,수영/물놀이,L0030,M0156
843,PD0844,여성수영복,시즌스포츠,수영/물놀이,L0030,M0156
844,PD0845,아동수영복,시즌스포츠,수영/물놀이,L0030,M0156
845,PD0846,남성비치웨어,시즌스포츠,수영/물놀이,L0030,M0156
846,PD0847,여성비치웨어,시즌스포츠,수영/물놀이,L0030,M0156
847,PD0848,아동비치웨어,시즌스포츠,수영/물놀이,L0030,M0156
848,PD0849,수영가방,시즌스포츠,수영/물놀이,L0030,M0156
849,PD0850,수영모자,시즌스포츠,수영/물놀이,L0030,M0156
850,PD0851,물안경,시즌스포츠,수영/물놀이,L0030,M0156
851,PD0852,아쿠아슈즈,시즌스포츠,수영/물놀이,L0030,M0156
852,PD0853,오리발/스노클링,시즌스포츠,수영/물놀이,L0030,M0156
853,PD0854,튜브/보트,시즌스포츠,수영/물놀이,L0030,M0156
854,PD0855,구명조끼/안전용품,시즌스포츠,수영/물놀이,L0030,M0156
855,PD0856,기타물놀이용품,시즌스포츠,수영/물놀이,L0030,M0156
856,PD0857,썰매류,시즌스포츠,스케이트/썰매,L0030,M0164
857,PD0858,보드장비,시즌스포츠,스키/보드,L0030,M0165
858,PD0859,스키복,시즌스포츠,스키/보드,L0030,M0165
859,PD0860,보드복,시즌스포츠,스키/보드,L0030,M0165
860,PD0861,스키/보드고글,시즌스포츠,스키/보드,L0030,M0165
861,PD0862,스키/보드장갑,시즌스포츠,스키/보드,L0030,M0165
862,PD0863,기타스키/보드용품,시즌스포츠,스키/보드,L0030,M0165
863,PD0864,밥공기,식기/조리기구,그릇/식기,L0031,M0035
864,PD0865,국그릇,식기/조리기구,그릇/식기,L0031,M0035
865,PD0866,대접/볼,식기/조리기구,그릇/식기,L0031,M0035
866,PD0867,접시,식기/조리기구,그릇/식기,L0031,M0035
867,PD0868,찬기/종지,식기/조리기구,그릇/식기,L0031,M0035
868,PD0869,반상기세트/홈세트,식기/조리기구,그릇/식기,L0031,M0035
869,PD0870,제기,식기/조리기구,그릇/식기,L0031,M0035
870,PD0871,음료용컵,식기/조리기구,그릇/식기,L0031,M0035
871,PD0872,주류잔,식기/조리기구,그릇/식기,L0031,M0035
872,PD0873,커피잔,식기/조리기구,그릇/식기,L0031,M0035
873,PD0874,다기류,식기/조리기구,그릇/식기,L0031,M0035
874,PD0875,숟가락/젓가락,식기/조리기구,그릇/식기,L0031,M0035
875,PD0876,포크/나이프,식기/조리기구,그릇/식기,L0031,M0035
876,PD0877,디저트포크/스푼,식기/조리기구,그릇/식기,L0031,M0035
877,PD0878,그릇/식기세트,식기/조리기구,그릇/식기,L0031,M0035
878,PD0879,물병,식기/조리기구,밀폐/보관용기,L0031,M0109
879,PD0880,과실주병,식기/조리기구,밀폐/보관용기,L0031,M0109
880,PD0881,보온병/텀블러,식기/조리기구,밀폐/보관용기,L0031,M0109
881,PD0882,도시락/찬합,식기/조리기구,밀폐/보관용기,L0031,M0109
882,PD0883,보온도시락,식기/조리기구,밀폐/보관용기,L0031,M0109
883,PD0884,양념통,식기/조리기구,밀폐/보관용기,L0031,M0109
884,PD0885,항아리/쌀독류,식기/조리기구,밀폐/보관용기,L0031,M0109
885,PD0886,반찬통/밀폐용기,식기/조리기구,밀폐/보관용기,L0031,M0109
886,PD0887,유아동식기/식판,식기/조리기구,유아동식기,L0031,M0243
887,PD0888,유아동숟가락/젓가락/포크,식기/조리기구,유아동식기,L0031,M0243
888,PD0889,유아동컵/물병,식기/조리기구,유아동식기,L0031,M0243
889,PD0890,유아동식기세트,식기/조리기구,유아동식기,L0031,M0243
890,PD0891,냄비,식기/조리기구,조리기구,L0031,M0289
891,PD0892,뚝배기,식기/조리기구,조리기구,L0031,M0289
892,PD0893,압력솥,식기/조리기구,조리기구,L0031,M0289
893,PD0894,솥,식기/조리기구,조리기구,L0031,M0289
894,PD0895,주전자,식기/조리기구,조리기구,L0031,M0289
895,PD0896,프라이팬,식기/조리기구,조리기구,L0031,M0289
896,PD0897,그릴/구이불판,식기/조리기구,조리기구,L0031,M0289
897,PD0898,오븐팬/피자팬,식기/조리기구,조리기구,L0031,M0289
898,PD0899,조리기구세트,식기/조리기구,조리기구,L0031,M0289
899,PD0900,기타아웃도어/레저용품,아웃도어/레저,기타아웃도어/레저,L0032,M0043
900,PD0901,낚시장비,아웃도어/레저,낚시,L0032,M0050
901,PD0902,낚시용품,아웃도어/레저,낚시,L0032,M0050
902,PD0903,등산화,아웃도어/레저,등산,L0032,M0093
903,PD0904,배낭,아웃도어/레저,등산,L0032,M0093
904,PD0905,힙색/사이드백,아웃도어/레저,등산,L0032,M0093
905,PD0906,기타배낭소품,아웃도어/레저,등산,L0032,M0093
906,PD0907,등산지팡이/스틱,아웃도어/레저,등산,L0032,M0093
907,PD0908,아이젠,아웃도어/레저,등산,L0032,M0093
908,PD0909,기타등산용품,아웃도어/레저,등산,L0032,M0093
909,PD0910,인라인/롤러스케이트,아웃도어/레저,인라인/스케이트보드/킥보드,L0032,M0264
910,PD0911,스케이트보드/킥보드,아웃도어/레저,인라인/스케이트보드/킥보드,L0032,M0264
911,PD0912,전동보드/전동킥보드,아웃도어/레저,인라인/스케이트보드/킥보드,L0032,M0264
912,PD0913,인라인/스케이트보드/킥보드안전용품,아웃도어/레저,인라인/스케이트보드/킥보드,L0032,M0264
913,PD0914,인라인/스케이트보드/킥보드기타액세서리,아웃도어/레저,인라인/스케이트보드/킥보드,L0032,M0264
914,PD0915,MTB,아웃도어/레저,자전거,L0032,M0274
915,PD0916,로드자전거,아웃도어/레저,자전거,L0032,M0274
916,PD0917,미니벨로,아웃도어/레저,자전거,L0032,M0274
917,PD0918,전동/하이브리드자전거,아웃도어/레저,자전거,L0032,M0274
918,PD0919,유아동용자전거,아웃도어/레저,자전거,L0032,M0274
919,PD0920,기타자전거,아웃도어/레저,자전거,L0032,M0274
920,PD0921,자전거헬맷,아웃도어/레저,자전거,L0032,M0274
921,PD0922,자전거의류,아웃도어/레저,자전거,L0032,M0274
922,PD0923,자전거안전용품,아웃도어/레저,자전거,L0032,M0274
923,PD0924,자전거수리부품,아웃도어/레저,자전거,L0032,M0274
924,PD0925,자전거기타액세서리,아웃도어/레저,자전거,L0032,M0274
925,PD0926,텐트,아웃도어/레저,캠핑,L0032,M0317
926,PD0927,그늘막/타프,아웃도어/레저,캠핑,L0032,M0317
927,PD0928,캠핑침구,아웃도어/레저,캠핑,L0032,M0317
928,PD0929,야외용돗자리,아웃도어/레저,캠핑,L0032,M0317
929,PD0930,캠핑테이블/의자,아웃도어/레저,캠핑,L0032,M0317
930,PD0931,캠핑취사,아웃도어/레저,캠핑,L0032,M0317
931,PD0932,오토캠핑용품세트,아웃도어/레저,캠핑,L0032,M0317
932,PD0933,기타캠핑용품,아웃도어/레저,캠핑,L0032,M0317
933,PD0934,미숫가루,양곡,선식류,L0033,M0141
934,PD0935,선식,양곡,선식류,L0033,M0141
935,PD0936,일반미,양곡,쌀,L0033,M0177
936,PD0937,기능성미,양곡,쌀,L0033,M0177
937,PD0938,즉석도정미,양곡,쌀,L0033,M0177
938,PD0939,일반기능미,양곡,쌀,L0033,M0177
939,PD0940,곡물선물세트,양곡,양곡선물세트,L0033,M0188
940,PD0941,보리,양곡,잡곡,L0033,M0275
941,PD0942,현미,양곡,잡곡,L0033,M0275
942,PD0943,찹쌀,양곡,잡곡,L0033,M0275
943,PD0944,흑미,양곡,잡곡,L0033,M0275
944,PD0945,콩,양곡,잡곡,L0033,M0275
945,PD0946,조/수수,양곡,잡곡,L0033,M0275
946,PD0947,혼합잡곡,양곡,잡곡,L0033,M0275
947,PD0948,기타잡곡류,양곡,잡곡,L0033,M0275
948,PD0949,여성티셔츠/탑,여성의류,여성의류상의,L0034,M0201
949,PD0950,여성남방셔츠,여성의류,여성의류상의,L0034,M0201
950,PD0951,여성블라우스,여성의류,여성의류상의,L0034,M0201
951,PD0952,여성베스트,여성의류,여성의류상의,L0034,M0201
952,PD0953,여성가디건,여성의류,여성의류상의,L0034,M0201
953,PD0954,여성스웨터/풀오버,여성의류,여성의류상의,L0034,M0201
954,PD0955,여성스웨트셔츠/후드/집업,여성의류,여성의류상의,L0034,M0201
955,PD0956,여성정장세트,여성의류,여성의류세트,L0034,M0202
956,PD0957,기타여성의류세트,여성의류,여성의류세트,L0034,M0202
957,PD0958,여성코트,여성의류,여성의류아우터,L0034,M0203
958,PD0959,여성재킷,여성의류,여성의류아우터,L0034,M0203
959,PD0960,여성패딩,여성의류,여성의류아우터,L0034,M0203
960,PD0961,여성점퍼,여성의류,여성의류아우터,L0034,M0203
961,PD0962,여성사파리,여성의류,여성의류아우터,L0034,M0203
962,PD0963,여성트렌치코트,여성의류,여성의류아우터,L0034,M0203
963,PD0964,기타여성의류아우터,여성의류,여성의류아우터,L0034,M0203
964,PD0965,여성원피스,여성의류,여성의류전신,L0034,M0204
965,PD0966,여성점프수트/오버롤,여성의류,여성의류전신,L0034,M0204
966,PD0967,여성바지,여성의류,여성의류하의,L0034,M0205
967,PD0968,여성스커트,여성의류,여성의류하의,L0034,M0205
968,PD0969,여성청바지,여성의류,여성의류하의,L0034,M0205
969,PD0970,여성레깅스,여성의류,여성의류하의,L0034,M0205
970,PD0971,여성패션트레이닝복,여성의류,여성특수목적의류,L0034,M0208
971,PD0972,여성한복,여성의류,여성특수목적의류,L0034,M0208
972,PD0973,여성코스튬,여성의류,여성특수목적의류,L0034,M0208
973,PD0974,기타여성특수목적의류,여성의류,여성특수목적의류,L0034,M0208
974,PD0975,여성피혁의류,여성의류,여성특수소재의류,L0034,M0209
975,PD0976,여성밍크의류,여성의류,여성특수소재의류,L0034,M0209
976,PD0977,여성기타모피의류,여성의류,여성특수소재의류,L0034,M0209
977,PD0978,숙박,여행/레저서비스,여행/레저,L0035,M0219
978,PD0979,문화/공연입장권,여행/레저서비스,이용권/입장권,L0035,M0263
979,PD0980,스파/워터파크이용권,여행/레저서비스,이용권/입장권,L0035,M0263
980,PD0981,놀이동산이용권,여행/레저서비스,이용권/입장권,L0035,M0263
981,PD0982,스키/보드이용권,여행/레저서비스,이용권/입장권,L0035,M0263
982,PD0983,기타이용권,여행/레저서비스,이용권/입장권,L0035,M0263
983,PD0984,DVD플레이어,영상/음향가전,DVD/홈시어터,L0036,M0001
984,PD0985,프로젝터,영상/음향가전,DVD/홈시어터,L0036,M0001
985,PD0986,사운드바,영상/음향가전,DVD/홈시어터,L0036,M0001
986,PD0987,기타DVD/홈시어터액세서리,영상/음향가전,DVD/홈시어터,L0036,M0001
987,PD0988,LED,영상/음향가전,TV,L0036,M0002
988,PD0989,UHD,영상/음향가전,TV,L0036,M0002
989,PD0990,TV장식장/거치대,영상/음향가전,TV,L0036,M0002
990,PD0991,기타TV,영상/음향가전,TV,L0036,M0002
991,PD0992,리모컨/액세서리,영상/음향가전,TV,L0036,M0002
992,PD0993,OLED,영상/음향가전,TV,L0036,M0002
993,PD0994,MP3,영상/음향가전,소형디지털가전,L0036,M0151
994,PD0995,보이스레코더,영상/음향가전,소형디지털가전,L0036,M0151
995,PD0996,소형디지털가전액세서리,영상/음향가전,소형디지털가전,L0036,M0151
996,PD0997,콤포넌트,영상/음향가전,오디오,L0036,M0224
997,PD0998,CDP/카세트,영상/음향가전,오디오,L0036,M0224
998,PD0999,라디오/튜너,영상/음향가전,오디오,L0036,M0224
999,PD1000,앰프/스피커,영상/음향가전,오디오,L0036,M0224
1000,PD1001,뮤직센터,영상/음향가전,오디오,L0036,M0224
1001,PD1002,오디오액세서리,영상/음향가전,오디오,L0036,M0224
1002,PD1003,DSLR,영상/음향가전,카메라/캠코더,L0036,M0314
1003,PD1004,컴팩트,영상/음향가전,카메라/캠코더,L0036,M0314
1004,PD1005,미러리스,영상/음향가전,카메라/캠코더,L0036,M0314
1005,PD1006,하이앤드,영상/음향가전,카메라/캠코더,L0036,M0314
1006,PD1007,기타카메라,영상/음향가전,카메라/캠코더,L0036,M0314
1007,PD1008,카메라액세서리,영상/음향가전,카메라/캠코더,L0036,M0314
1008,PD1009,캠코더,영상/음향가전,카메라/캠코더,L0036,M0314
1009,PD1010,기타광학기기,영상/음향가전,카메라/캠코더,L0036,M0314
1010,PD1011,퍼즐,완구,교육완구,L0037,M0029
1011,PD1012,보드게임,완구,교육완구,L0037,M0029
1012,PD1013,블록,완구,교육완구,L0037,M0029
1013,PD1014,레고,완구,교육완구,L0037,M0029
1014,PD1015,일반교육완구,완구,교육완구,L0037,M0029
1015,PD1016,자연/과학완구,완구,교육완구,L0037,M0029
1016,PD1017,음악/악기완구,완구,교육완구,L0037,M0029
1017,PD1018,미술/창작완구,완구,교육완구,L0037,M0029
1018,PD1019,전자교육완구,완구,교육완구,L0037,M0029
1019,PD1020,미니자동차,완구,남아완구,L0037,M0070
1020,PD1021,기차/레일완구,완구,남아완구,L0037,M0070
1021,PD1022,피규어,완구,남아완구,L0037,M0070
1022,PD1023,조립/프라모델,완구,남아완구,L0037,M0070
1023,PD1024,무선조종,완구,남아완구,L0037,M0070
1024,PD1025,롤플레잉완구,완구,남아완구,L0037,M0070
1025,PD1026,전동승용물,완구,승용완구,L0037,M0169
1026,PD1027,스포츠완구,완구,실외놀이/스포츠완구,L0037,M0176
1027,PD1028,실외놀이완구,완구,실외놀이/스포츠완구,L0037,M0176
1028,PD1029,물놀이용품,완구,실외놀이/스포츠완구,L0037,M0176
1029,PD1030,플레이세트,완구,실외놀이/스포츠완구,L0037,M0176
1030,PD1031,할로윈완구,완구,실외놀이/스포츠완구,L0037,M0176
1031,PD1032,봉제인형,완구,여아완구,L0037,M0211
1032,PD1033,패션인형,완구,여아완구,L0037,M0211
1033,PD1034,콜렉션인형,완구,여아완구,L0037,M0211
1034,PD1035,여아드레스및소품,완구,여아완구,L0037,M0211
1035,PD1036,역할놀이,완구,여아완구,L0037,M0211
1036,PD1037,DIY완구,완구,여아완구,L0037,M0211
1037,PD1038,비디오게임기,완구,전자/비디오게임,L0037,M0282
1038,PD1039,비디오게임액세서리,완구,전자/비디오게임,L0037,M0282
1039,PD1040,비디오게임소프트웨어,완구,전자/비디오게임,L0037,M0282
1040,PD1041,기타전자/비디오게임,완구,전자/비디오게임,L0037,M0282
1041,PD1042,고양이사료,원예/애완,고양이용품,L0038,M0021
1042,PD1043,고양이간식,원예/애완,고양이용품,L0038,M0021
1043,PD1044,고양이건강용품,원예/애완,고양이용품,L0038,M0021
1044,PD1045,고양이목욕/위생용품,원예/애완,고양이용품,L0038,M0021
1045,PD1046,고양이모래/배변용품,원예/애완,고양이용품,L0038,M0021
1046,PD1047,고양이캣타워/실내용품,원예/애완,고양이용품,L0038,M0021
1047,PD1048,고양이식기/급수,원예/애완,고양이용품,L0038,M0021
1048,PD1049,고양이장난감,원예/애완,고양이용품,L0038,M0021
1049,PD1050,고양이이동장,원예/애완,고양이용품,L0038,M0021
1050,PD1051,관상어,원예/애완,기타애완동물,L0038,M0044
1051,PD1052,파충류,원예/애완,기타애완동물,L0038,M0044
1052,PD1053,관상어용품,원예/애완,기타애완동물,L0038,M0044
1053,PD1054,관상조용품,원예/애완,기타애완동물,L0038,M0044
1054,PD1055,곤충용품,원예/애완,기타애완동물,L0038,M0044
1055,PD1056,파충류용품,원예/애완,기타애완동물,L0038,M0044
1056,PD1057,설치류용품,원예/애완,기타애완동물,L0038,M0044
1057,PD1058,미용/스파,원예/애완,동물병원,L0038,M0090
1058,PD1059,분양,원예/애완,동물병원,L0038,M0090
1059,PD1060,진료/수술,원예/애완,동물병원,L0038,M0090
1060,PD1061,처방사료,원예/애완,동물병원,L0038,M0090
1061,PD1062,호텔,원예/애완,동물병원,L0038,M0090
1062,PD1063,훈련,원예/애완,동물병원,L0038,M0090
1063,PD1064,애견사료,원예/애완,애견용품,L0038,M0184
1064,PD1065,애견간식,원예/애완,애견용품,L0038,M0184
1065,PD1066,애견건강용품,원예/애완,애견용품,L0038,M0184
1066,PD1067,애견목욕/위생용품,원예/애완,애견용품,L0038,M0184
1067,PD1068,애견배변용품,원예/애완,애견용품,L0038,M0184
1068,PD1069,애견주거/실내용품,원예/애완,애견용품,L0038,M0184
1069,PD1070,애견식기/물병,원예/애완,애견용품,L0038,M0184
1070,PD1071,애견의류/악세서리,원예/애완,애견용품,L0038,M0184
1071,PD1072,애견장난감/훈련,원예/애완,애견용품,L0038,M0184
1072,PD1073,애견이동장,원예/애완,애견용품,L0038,M0184
1073,PD1074,원예식물,원예/애완,원예,L0038,M0235
1074,PD1075,모종/씨앗,원예/애완,원예,L0038,M0235
1075,PD1076,조화,원예/애완,원예,L0038,M0235
1076,PD1077,배양토/영양제/비료,원예/애완,원예,L0038,M0235
1077,PD1078,화분/화분받침,원예/애완,원예용품,L0038,M0236
1078,PD1079,원예공구/살수용품,원예/애완,원예용품,L0038,M0236
1079,PD1080,기타원예용품,원예/애완,원예용품,L0038,M0236
1080,PD1081,남아티셔츠/탑,유아동의류,남아의류상의,L0039,M0071
1081,PD1082,남아셔츠,유아동의류,남아의류상의,L0039,M0071
1082,PD1083,남아베스트,유아동의류,남아의류상의,L0039,M0071
1083,PD1084,남아가디건,유아동의류,남아의류상의,L0039,M0071
1084,PD1085,남아스웨터/풀오버,유아동의류,남아의류상의,L0039,M0071
1085,PD1086,남아스웨트셔츠/후드/집업,유아동의류,남아의류상의,L0039,M0071
1086,PD1087,남아의류세트,유아동의류,남아의류세트,L0039,M0072
1087,PD1088,남아코트,유아동의류,남아의류아우터,L0039,M0073
1088,PD1089,남아재킷,유아동의류,남아의류아우터,L0039,M0073
1089,PD1090,남아패딩,유아동의류,남아의류아우터,L0039,M0073
1090,PD1091,남아점퍼,유아동의류,남아의류아우터,L0039,M0073
1091,PD1092,기타남아의류아우터,유아동의류,남아의류아우터,L0039,M0073
1092,PD1093,남아점프수트/오버롤,유아동의류,남아의류전신,L0039,M0074
1093,PD1094,남아바지,유아동의류,남아의류하의,L0039,M0075
1094,PD1095,남아청바지,유아동의류,남아의류하의,L0039,M0075
1095,PD1096,남아레깅스,유아동의류,남아의류하의,L0039,M0075
1096,PD1097,남아한복,유아동의류,남아특수목적의류,L0039,M0076
1097,PD1098,남아코스튬,유아동의류,남아특수목적의류,L0039,M0076
1098,PD1099,기타남아특수목적의류,유아동의류,남아특수목적의류,L0039,M0076
1099,PD1100,남아피혁의류,유아동의류,남아특수소재의류,L0039,M0077
1100,PD1101,여아티셔츠/탑,유아동의류,여아의류상의,L0039,M0212
1101,PD1102,여아남방셔츠,유아동의류,여아의류상의,L0039,M0212
1102,PD1103,여아블라우스,유아동의류,여아의류상의,L0039,M0212
1103,PD1104,여아베스트,유아동의류,여아의류상의,L0039,M0212
1104,PD1105,여아가디건,유아동의류,여아의류상의,L0039,M0212
1105,PD1106,여아스웨터/풀오버,유아동의류,여아의류상의,L0039,M0212
1106,PD1107,여아스웨트셔츠/후드/집업,유아동의류,여아의류상의,L0039,M0212
1107,PD1108,기타여아특수목적의류,유아동의류,여아의류세트,L0039,M0213
1108,PD1109,여아의류세트,유아동의류,여아의류세트,L0039,M0213
1109,PD1110,여아코트,유아동의류,여아의류아우터,L0039,M0214
1110,PD1111,여아재킷,유아동의류,여아의류아우터,L0039,M0214
1111,PD1112,여아패딩,유아동의류,여아의류아우터,L0039,M0214
1112,PD1113,여아점퍼,유아동의류,여아의류아우터,L0039,M0214
1113,PD1114,기타여아아우터,유아동의류,여아의류아우터,L0039,M0214
1114,PD1115,여아원피스,유아동의류,여아의류전신,L0039,M0215
1115,PD1116,여아점프수트/오버롤,유아동의류,여아의류전신,L0039,M0215
1116,PD1117,여아한복,유아동의류,여아의류특수목적의류,L0039,M0216
1117,PD1118,여아코스튬,유아동의류,여아의류특수목적의류,L0039,M0216
1118,PD1119,여아바지,유아동의류,여아의류하의,L0039,M0217
1119,PD1120,여아스커트,유아동의류,여아의류하의,L0039,M0217
1120,PD1121,여아청바지,유아동의류,여아의류하의,L0039,M0217
1121,PD1122,여아레깅스,유아동의류,여아의류하의,L0039,M0217
1122,PD1123,여아피혁의류,유아동의류,여아특수소재의류,L0039,M0218
1123,PD1124,여아모피의류,유아동의류,여아특수소재의류,L0039,M0218
1124,PD1125,배냇저고리,유아동의류,유아의류상의,L0039,M0253
1125,PD1126,영유아티셔츠/탑,유아동의류,유아의류상의,L0039,M0253
1126,PD1127,영유아남방셔츠,유아동의류,유아의류상의,L0039,M0253
1127,PD1128,영유아블라우스,유아동의류,유아의류상의,L0039,M0253
1128,PD1129,영유아베스트,유아동의류,유아의류상의,L0039,M0253
1129,PD1130,영유아가디건,유아동의류,유아의류상의,L0039,M0253
1130,PD1131,영유아스웨터/풀오버,유아동의류,유아의류상의,L0039,M0253
1131,PD1132,영유아스웨트셔츠/후드/집업,유아동의류,유아의류상의,L0039,M0253
1132,PD1133,영유아의류세트,유아동의류,유아의류세트,L0039,M0254
1133,PD1134,영유아코트,유아동의류,유아의류아우터,L0039,M0255
1134,PD1135,영유아재킷,유아동의류,유아의류아우터,L0039,M0255
1135,PD1136,영유아점퍼,유아동의류,유아의류아우터,L0039,M0255
1136,PD1137,영유아패딩,유아동의류,유아의류아우터,L0039,M0255
1137,PD1138,기타영유아아우터,유아동의류,유아의류아우터,L0039,M0255
1138,PD1139,영유아원피스,유아동의류,유아의류전신,L0039,M0256
1139,PD1140,영유아점프수트/오버롤,유아동의류,유아의류전신,L0039,M0256
1140,PD1141,우주복,유아동의류,유아의류전신,L0039,M0256
1141,PD1142,영유아바지,유아동의류,유아의류하의,L0039,M0257
1142,PD1143,영유아청바지,유아동의류,유아의류하의,L0039,M0257
1143,PD1144,영유아스커트,유아동의류,유아의류하의,L0039,M0257
1144,PD1145,영유아레깅스,유아동의류,유아의류하의,L0039,M0257
1145,PD1146,영유아패션트레이닝복,유아동의류,유아특수목적의류,L0039,M0258
1146,PD1147,기타영유아특수목적의류,유아동의류,유아특수목적의류,L0039,M0258
1147,PD1148,유아과자,유아식품,유아간식,L0040,M0239
1148,PD1149,유아음료,유아식품,유아간식,L0040,M0239
1149,PD1150,분유,유아식품,유아식,L0040,M0250
1150,PD1151,이유식,유아식품,유아식,L0040,M0250
1151,PD1152,가공우유,유제품,가공유,L0041,M0003
1152,PD1153,일반요구르트,유제품,요구르트,L0041,M0228
1153,PD1154,마시는요구르트,유제품,요구르트,L0041,M0228
1154,PD1155,떠먹는요구르트,유제품,요구르트,L0041,M0228
1155,PD1156,일반우유,유제품,우유,L0041,M0233
1156,PD1157,기능성우유,유제품,우유,L0041,M0233
1157,PD1158,크림/연유,유제품,유가공품,L0041,M0238
1158,PD1159,버터/마가린,유제품,유가공품,L0041,M0238
1159,PD1160,치즈,유제품,유가공품,L0041,M0238
1160,PD1161,과일음료,음료,과채음료,L0042,M0027
1161,PD1162,채소음료,음료,과채음료,L0042,M0027
1162,PD1163,과채혼합음료,음료,과채음료,L0042,M0027
1163,PD1164,어린이음료,음료,과채음료,L0042,M0027
1164,PD1165,스포츠음료,음료,기능성음료,L0042,M0036
1165,PD1166,비타민/에너지음료,음료,기능성음료,L0042,M0036
1166,PD1167,식이섬유음료,음료,기능성음료,L0042,M0036
1167,PD1168,한방음료,음료,기능성음료,L0042,M0036
1168,PD1169,숙취해소음료,음료,기능성음료,L0042,M0036
1169,PD1170,기타기능성음료,음료,기능성음료,L0042,M0036
1170,PD1171,일반두유,음료,두유,L0042,M0092
1171,PD1172,유아두유,음료,두유,L0042,M0092
1172,PD1173,생수,음료,생수,L0042,M0136
1173,PD1174,탄산수,음료,생수,L0042,M0136
1174,PD1175,기능성음료세트,음료,음료세트,L0042,M0260
1175,PD1176,과채음료세트,음료,음료세트,L0042,M0260
1176,PD1177,기타음료세트,음료,음료세트,L0042,M0260
1177,PD1178,파우치/즉석음료,음료,즉석음료류,L0042,M0301
1178,PD1179,일반차음료,음료,차음료,L0042,M0304
1179,PD1180,전통차음료,음료,차음료,L0042,M0304
1180,PD1181,커피음료,음료,커피음료,L0042,M0320
1181,PD1182,사이다,음료,탄산음료,L0042,M0324
1182,PD1183,콜라,음료,탄산음료,L0042,M0324
1183,PD1184,혼합탄산,음료,탄산음료,L0042,M0324
1184,PD1185,벽지,인테리어/조명,벽면/바닥용품,L0043,M0118
1185,PD1186,바닥재,인테리어/조명,벽면/바닥용품,L0043,M0118
1186,PD1187,시트지,인테리어/조명,벽면/바닥용품,L0043,M0118
1187,PD1188,방풍/단열/방충,인테리어/조명,벽면/바닥용품,L0043,M0118
1188,PD1189,시계,인테리어/조명,장식용품,L0043,M0279
1189,PD1190,액자,인테리어/조명,장식용품,L0043,M0279
1190,PD1191,거울,인테리어/조명,장식용품,L0043,M0279
1191,PD1192,장식소품,인테리어/조명,장식용품,L0043,M0279
1192,PD1193,미술공예품,인테리어/조명,장식용품,L0043,M0279
1193,PD1194,장식스탠드,인테리어/조명,조명용품,L0043,M0291
1194,PD1195,테이블스탠드,인테리어/조명,조명용품,L0043,M0291
1195,PD1196,조명등기구,인테리어/조명,조명용품,L0043,M0291
1196,PD1197,일반램프,인테리어/조명,조명용품,L0043,M0291
1197,PD1198,LED램프,인테리어/조명,조명용품,L0043,M0291
